"CommodityScheme","CommodityCode","Description","Parent Code","Level","IsBasicLevel"
"HS22","01","Animals; live","TOTAL","2","0"
"HS22","0101","Horses, asses, mules and hinnies; live","01","4","0"
"HS22","010121","Horses; live, pure-bred breeding animals","0101","6","1"
"HS22","010129","Horses; live, other than pure-bred breeding animals","0101","6","1"
"HS22","010130","Asses; live","0101","6","1"
"HS22","010190","Mules and hinnies; live","0101","6","1"
"HS22","0102","Bovine animals; live","01","4","0"
"HS22","010221","Cattle; live, pure-bred breeding animals","0102","6","1"
"HS22","010229","Cattle; live, other than pure-bred breeding animals","0102","6","1"
"HS22","010231","Buffalo; live, pure-bred breeding animals","0102","6","1"
"HS22","010239","Buffalo; live, other than pure-bred breeding animals","0102","6","1"
"HS22","010290","Bovine animals; live, other than cattle and buffalo","0102","6","1"
"HS22","0103","Swine; live","01","4","0"
"HS22","010310","Swine; live, pure-bred breeding animals","0103","6","1"
"HS22","010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","0103","6","1"
"HS22","010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","0103","6","1"
"HS22","0104","Sheep and goats; live","01","4","0"
"HS22","010410","Sheep; live","0104","6","1"
"HS22","010420","Goats; live","0104","6","1"
"HS22","0105","Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","01","4","0"
"HS22","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","0105","6","1"
"HS22","010512","Poultry; live, turkeys, weighing not more than 185g","0105","6","1"
"HS22","010513","Poultry; live, ducks, weighing not more than 185g","0105","6","1"
"HS22","010514","Poultry; live, geese, weighing not more than 185g","0105","6","1"
"HS22","010515","Poultry; live, guinea fowls, weighing not more than 185g","0105","6","1"
"HS22","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","0105","6","1"
"HS22","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","0105","6","1"
"HS22","0106","Animals; live, n.e.c. in chapter 01","01","4","0"
"HS22","010611","Mammals; live, primates","0106","6","1"
"HS22","010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","0106","6","1"
"HS22","010613","Mammals; live, camels and other camelids (Camelidae)","0106","6","1"
"HS22","010614","Mammals; live, rabbits and hares","0106","6","1"
"HS22","010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","0106","6","1"
"HS22","010620","Reptiles; live (including snakes and turtles)","0106","6","1"
"HS22","010631","Birds; live, birds of prey","0106","6","1"
"HS22","010632","Birds; live, Psittaciformes","0106","6","1"
"HS22","010633","Birds; live, ostriches; emus (Dromaius novaehollandiae)","0106","6","1"
"HS22","010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","0106","6","1"
"HS22","010641","Insects; live, bees","0106","6","1"
"HS22","010649","Insects; live, other than bees","0106","6","1"
"HS22","010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","0106","6","1"
"HS22","02","Meat and edible meat offal","TOTAL","2","0"
"HS22","0201","Meat of bovine animals; fresh or chilled","02","4","0"
"HS22","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","0201","6","1"
"HS22","020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","0201","6","1"
"HS22","020130","Meat; of bovine animals, boneless cuts, fresh or chilled","0201","6","1"
"HS22","0202","Meat of bovine animals; frozen","02","4","0"
"HS22","020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","0202","6","1"
"HS22","020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","0202","6","1"
"HS22","020230","Meat; of bovine animals, boneless cuts, frozen","0202","6","1"
"HS22","0203","Meat of swine; fresh, chilled or frozen","02","4","0"
"HS22","020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","0203","6","1"
"HS22","020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","0203","6","1"
"HS22","020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","0203","6","1"
"HS22","020321","Meat; of swine, carcasses and half-carcasses, frozen","0203","6","1"
