"Category","OED Code","CEDE code","Name","Description","Code Range","Broad Category"
"Construction","5000","100","Unknown","The construction class is not known.","5000","Unknown"
"Construction","5050","101","Wood, Wood frame","Wood frame (modern) structures tend to be mostly low rise (one to three stories, occasionally four). Stud walls are typically constructed of 2x4 or 2x6 inch wood members vertically set 16 or 24 inches apart. These walls are braced by plywood or by diagonals made of wood or steel. Many detached single and low-rise multiple family residences in the United States are of stud wall wood frame construction.","5050 - 5099","Wood"
"Construction","5051","102","Wood, Light wood frame","Light wood frame structures are typically not built in the United States but would be found in other countries, such as Japan. In Hawaii, this classification would include single wall (studless) construction framed with light timber trusses.","5050 - 5099","Wood"
"Construction","5052","103","Wood, Masonry veneer","A wood-framed structure faced with a single width of non-load-bearing concrete, stone, or clay brick attached to the stud wall.","5050 - 5099","Wood"
"Construction","5053","104","Wood, Heavy timber","Heavy Timber structures typically have masonry walls with heavy wood column supports, and floor and roof decks are 2-3 inch tongue-and-groove planks.","5050 - 5099","Wood"
"Construction","5054","105","Wood, Okabe","","5050 - 5099","Wood"
"Construction","5055","106","Wood, Shinkabe","","5050 - 5099","Wood"
"Construction","5056","107","Wood, Lightweight Cladding","Non-structural cladding and linings (e.g., fiber cement, plywood) used in lightweight construction that uses timber or light gauge steel framing as the structural support system.","5050 - 5099","Wood"
"Construction","5057","108","Wood, Hawaii indigenous material","Indigenous Hawaiian construction.","5050 - 5099","Wood"
"Construction","5100","111","Masonry, Masonry","Use this option when the exterior walls are constructed of masonry materials, but detailed construction information is unavailable or unknown.","5100 - 5149","Masonry"
"Construction","5101","112","Masonry, Adobe","Adobe construction uses adobe (clay) blocks with cement or cement-clay mixture as mortar. The roof consists of a timber frame with clay tiles or, in some cases, metal roofing.","5100 - 5149","Masonry"
"Construction","5102","113","Masonry, Rubble stone masonry","Rubble stone masonry consists of low-rise perimeter load bearing walls composed of irregular stones laid as coursed or uncoursed rubble in a cement mortar bed, with floor and roof joists constructed with wood framing.","5100 - 5149","Masonry"
"Construction","5103","114","Masonry, Unreinforced masonry bearing wall","Unreinforced masonry buildings consist of structures in which there is no steel reinforcing within a load bearing masonry wall. Floors, roofs, and internal partitions in these bearing wall buildings are usually of wood.","5100 - 5149","Masonry"
"Construction","5104","115","Masonry, Unreinforced masonry bearing frame","Unreinforced masonry is used for infill walls of buildings with a bearing frame. In this structure type, the masonry is intended to be used not to support gravity loads, but to assist with lateral loads.","5100 - 5149","Masonry"
"Construction","5105","116","Masonry, Reinforced masonry","Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Floor and roof joists constructed with wood framing are common.","5100 - 5149","Masonry"
"Construction","5106","117","Masonry, Reinforced masonry shear wall with mrf","Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Reinforced masonry buildings with ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.","5100 - 5149","Masonry"
"Construction","5107","118","Masonry, Reinforced masonry shear wall w/o mrf","Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.","5100 - 5149","Masonry"
"Construction","5108","119","Masonry, Joisted masonry","Masonry exterior walls with roof of combustible materials on non-combustible supports.","5100 - 5149","Masonry"
"Construction","5109","120","Masonry, Confined Masonry","Confined masonry is a construction system in which plain masonry walls are confined on all four sides by reinforced concrete or reinforced masonry members. The walls themselves, however, carry all of the gravity and lateral loads.","5100 - 5149","Masonry"
"Construction","5110","121","Masonry, Cavity Double Brick","An unreinforced masonry construction type composed of two layers of bricks, common in many cities in Australia.","5100 - 5149","Masonry"
"Construction","5150","131","Concrete, Reinforced concrete","Reinforced concrete buildings consist of reinforced concrete columns and beams. Use this if the other technical characteristics of the building are unknown.","5150 - 5199","Concrete"
"Construction","5151","132","Concrete, Reinforced concrete shear wall w/ mrf","Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced concrete extending from the foundation to the roof and can be exterior walls or interior walls.","5150 - 5199","Concrete"
"Construction","5152","133","Concrete, Reinforced concrete shear wall w/o mrf","Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. Reinforced concrete Shear Walls are continuous reinforced concrete, extending from the foundation to the roof and can be exterior walls or interior walls. This category typically consists of buildings with a concrete box structural system with shear walls. The entire structure, along with the usual concrete diaphragm, is typically cast in place.","5150 - 5199","Concrete"
"Construction","5153","134","Concrete, Reinforced concrete mrf ductile","Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. This kind of structural system can sustain large deformations and absorb energy without brittle failure.","5150 - 5199","Concrete"
"Construction","5154","135","Concrete, Reinforced concrete mrf non-ductile","Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. These structures have insufficient reinforcing steel embedded in the concrete and thus display low ductility.","5150 - 5199","Concrete"
"Construction","5155","136","Concrete, Tilt-up","Tilt-up buildings are constructed with reinforced concrete wall panels that are cast on the ground and then tilted upward into their final positions. These wall units are then anchored to the foundation and attached to each other. The roof and floor decks are typically wood. More recently, the wall panels are fabricated off-site and trucked in. These buildings tend to be one or two stories in height.","5150 - 5199","Concrete"
"Construction","5156","137","Concrete, Pre-cast concrete","The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site.","5150 - 5199","Concrete"
"Construction","5157","138","Concrete, Pre-cast concrete w/ shear wall","The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site. Lateral loads due to earthquakes are carried by cast-in-place concrete ""shear"" walls.","5150 - 5199","Concrete"
"Construction","5158","139","Concrete, Reinforced concrete mrf","A building constructed with reinforced concrete columns, beams, and slabs. ""Moment-resisting frames"" carry lateral loads due to earthquakes by bending. Information on the reinforcing steels is not sufficient to determine the building level of ductility.","5150 - 5199","Concrete"
"Construction","5159","140","Concrete, Reinforced concrete mrf with URM","Reinforced concrete columns and beams form ""moment-resisting frames"" to carry lateral loads due to earthquakes. Unreinforced masonry walls are used as infills between the columns to add lateral load resistance, but are not intended to serve as gravity load-bearing elements.","5150 - 5199","Concrete"
"Construction","5200","151","Steel, Steel","Steel frame buildings consist of steel columns and beams. Use this if the other technical characteristics of the building are unknown.","5200 - 5249","Steel"
"Construction","5201","152","Steel, Light metal","Light metal buildings are made of light gauge steel frame and are usually clad with lightweight metal or asbestos siding and roof, often corrugated. They typically are low-rise structures.","5200 - 5249","Steel"
