ORD - List of Fields,,,,,,,
,,,,,,,
Category,Table/File,File Format,Proposed Field Name,Current Field Name,Field Name Description,Comment,Additional Field (compared to Oasis)
Results,"PALT,EPT,PSEPT,MELT,MPLT,SELT,SPLT,QELT,QPLT",csv,SummaryId,summary_id,Summary ID,,
Results,"PALT,MELT",csv,SampleType,type,Indicator whether mean loss is analytical (SampleType=1) or sampled (SampleType=2),changed from 'type' to be a little less generic,
Results,"PALT,MELT,MPLT",csv,MeanLoss,mean,Mean loss,,
Results,"PALT,MELT,MPLT",csv,SDLoss,standard_deviation,Standard Deviation,,
Results,PALT,csv,SourceExposure,exposure_value,Exposure Value,,
Results,"MELT,MPLT",csv,FootprintExposure,,Exposure in the event footprint,,Yes
Results,"SELT,SPLT",csv,ImpactedExposure,,Exposure impacted by the event (where loss > 0),,Yes
Results,"PSEPT,SELT,SPLT",csv,SampleId,sidx,Sample number,For sample analyses only,
Results,"EPT, PSEPT",csv,ReturnPeriod,return_period,Return period,,
Results,"EPT,PSEPT,SELT,SPLT,QELT,QPLT",csv,Loss,loss,Loss,,
Results,MPLT,csv,SampleType,,Indicator whether mean loss is analytical (SampleType=1) or sampled (SampleType=2),changed from 'type' to be a little less generic,Yes
Results,"MELT,MPLT,SELT,SPLT,QELT,QPLT",csv,EventId,event_id,Event ID,,
Results,"MPLT,QPLT,SPLT",csv,Period,period_no,Period No,,
Results,"MPLT,QPLT,SPLT",csv,Year,occ_year,Occurrence Year,,
Results,"MPLT,QPLT,SPLT",csv,Month,occ_month,Occurrence Month,,
Results,"MPLT,QPLT,SPLT",csv,Day,occ_day,Occurrence Day,,
Results,"MPLT,QPLT,SPLT",csv,Hour,,Occurrence Hour,,Yes
Results,"MPLT,QPLT,SPLT",csv,Minute,,Occurrence Minute,,Yes
Results,MELT,csv,EventRate,,Rate representing the summary of the occurrence table event frequency,Need to have some info that defines what it is in how to resample it. To make sure that model results are not misused. Need to say what version it is (could be different views). Could there be a different rate in the model category Events table (e.g. pre-boiling down or pre-simulation rate)?,Yes
Model,ExtraModelMetaData,json,FrequencyDistribution,,Frequency,"added after discussion in the meeting; extra info for resampling, so that results are not misused. E.g. Negative Binomial, Poisson, Occurrence File",Yes
Model,ExtraModelMetaData,json,LossUncertaintyDistribution,,Loss Uncertainty,"added after discussion in the meeting; extra info for resampling, so that results are not misused. E.g. Beta, Gamma, Sample table, Quantile table",Yes
Model,ExtraModelMetaData,json,SeasonalityDistribution,,Seasonality,"added after discussion in the meeting; extra info for resampling, so that results are not misused. E.g. Uniform, Occurrence File",Yes
Results,"MELT,MPLT",csv,SDLossCor,,Correlated Standard Deviation,,Yes
Results,"MELT,MPLT",csv,SDLossInd,,Independent Standard Deviation,,Yes
Results,"QELT,QPLT",csv,Quantile,,Loss Quantile,,Yes
Results,"SELT,SPLT",csv,ImpactedNumLocs,,Number of locations that have been affected by the event. ,TIVs are defined in various ways in 'ExposureDefinition' tab,Yes
Results,"MELT,MPLT",csv,MeanImpactedNumLocs,,Mean number of locations that have been affected by the event (across all samples),,Yes
Results,"MELT,MPLT",csv,MaxImpacted NumLocs,,Max number of locations that have been affected by the event (across all samples). ,,Yes
Results,"PALT,EPT,PSEPT,MELT,MPLT,SELT,SPLT,QELT,QPLT",csv,PerilCode,,Peril / subperil for which losses are produced,Should this be included in all result files?,Yes
Results,"PALT,EPT,PSEPT,MELT,MPLT,SELT,SPLT,QELT,QPLT",csv,Coverage,,"Coverage (building, contents, BI or other)",Should this be included in all result files? Should we allow Combined / PD as an output option?,Yes
Results,"MPLT,QPLT,SPLT",csv,PeriodWeight,,Period Weight: used to give a weighting to periods when simulating.,It is used by one vendor to adjust frequency for some periods which contain rare events.,Yes
Analysis,AnalysisSettings?,json,AuditTrail?,,,"Catalogue, model version, software version, oasis fm version, time/date of analysis, analyst, analysis settings, output settings, hash / checksums?",Yes
Analysis,ResultsTableNames,json,ResultsTableNames,,A list of the results table names for this analysis,Neeed a consistent way of linking output files to an analysis,Yes
Analysis,ExtraModelMetaData,json,ExtraModelMetaDataFiles,,"A list of other files included in the results package (e.g. Model, Occurrence, etc).",,Yes
Analysis,AnalysisSettings,json,AnalysisID,Analysis_tag,Analysis tag / ID,,
Analysis,AnalysisSettings,json,AnalysisName,,Analysis name,,Yes
Analysis,AnalysisSettings,json,ClientName,,Client name,To distinguish multiple RI submissions,Yes
Analysis,AnalysisSettings,json,ExposureLocation,Exposure_location,Exposure location,,
Analysis,AnalysisSettings,json,ExposureDBName,,Exposure database name,,Yes
Analysis,AnalysisSettings,json,SourceExposureFiles,,List of input files (can be different numbers and kinds of files for different models),For Oasis will either be 2 or 4 OED files (no RI or RI). Will vary for other systems.,Yes
Analysis,AnalysisSettings,json,AggregatedExposureFiles,,List of aggregated exposure files present,,Yes
Analysis,AnalysisSettings,json,OasisVersion,,,List all version of Oasis components (there will be 6-7 sub-fields),Yes
Analysis,AnalysisSettings,json,SystemName,,System name,e.g. ModEx,Yes
Analysis,AnalysisSettings,json,SystemVersion,,System version,,Yes
Analysis,AnalysisSettings,json,PortfolioSetID,Prog_id,Portfolio set ID,,
Analysis,AnalysisSettings,json,SourceTag,Source_tag,Source tag,,
Analysis,AnalysisSettings,json,LossThreshold,LossThreshold,Loss Threshold,For Oasis runs,
