"SrcScheme","SrcField","SrcValue","SrcValueName","TgtSchemeVersion","TgtScheme","TgtField","TgtValue","TgtValueName"
"ATC","OccType","1","Permanent Dwelling (Single Family Housing)","2.3.1","OED","OccupancyCode","1051","Residential, Permanent dwelling: single-family"
"ATC","OccType","10","Entertainment And Recreation","2.3.1","OED","OccupancyCode","1108","Commercial, Entertainment and recreation - General"
"ATC","OccType","11","Parking","2.3.1","OED","OccupancyCode","1113","Commercial, Parking"
"ATC","OccType","12","Heavy Fabrication And Assembly","2.3.1","OED","OccupancyCode","1151","Industrial, Heavy fabrication and assembly"
"ATC","OccType","13","Light Fabrication And Assembly","2.3.1","OED","OccupancyCode","1152","Industrial, Light fabrication and assembly"
"ATC","OccType","14","Food And Drugs Processing","2.3.1","OED","OccupancyCode","1153","Industrial, Food and drug processing"
"ATC","OccType","15","Chemicals Processing","2.3.1","OED","OccupancyCode","1154","Industrial, Chemical processing"
"ATC","OccType","16","Metal And Minerals Processing","2.3.1","OED","OccupancyCode","1155","Industrial, Metal and minerals processing"
"ATC","OccType","17","High Technology","2.3.1","OED","OccupancyCode","1156","Industrial, High technology"
"ATC","OccType","18","Construction","2.3.1","OED","OccupancyCode","1157","Industrial, Construction"
"ATC","OccType","19","Petroleum","2.3.1","OED","OccupancyCode","1158","Industrial, Petroleum"
"ATC","OccType","2","Permanent Dwelling (Multi Family Housing)","2.3.1","OED","OccupancyCode","1052","Residential, Permanent dwelling: multi-family"
"ATC","OccType","20","Agriculture","2.3.1","OED","OccupancyCode","1351","Agriculture"
"ATC","OccType","21","Mining","2.3.1","OED","OccupancyCode","1159","Industrial, Mining"
"ATC","OccType","22","Religion And Nonprofit","2.3.1","OED","OccupancyCode","1200","Religion and Nonprofit, Religion and nonprofit"
"ATC","OccType","23","General Services","2.3.1","OED","OccupancyCode","1210","Government, General services"
"ATC","OccType","24","Emergency Response Services","2.3.1","OED","OccupancyCode","1220","Government, Emergency services"
"ATC","OccType","25","Education","2.3.1","OED","OccupancyCode","1230","Education, Universities, colleges and technical schools"
"ATC","OccType","26","Highway","2.3.1","OED","OccupancyCode","1250","Transportation, Highway"
"ATC","OccType","27","Railroad","2.3.1","OED","OccupancyCode","1251","Transportation, Railroad"
"ATC","OccType","28","Air","2.3.1","OED","OccupancyCode","1252","Transportation, Air"
"ATC","OccType","29","Sea/Water","2.3.1","OED","OccupancyCode","1253","Transportation, Sea and inland waterways"
"ATC","OccType","3","Temporary Lodging","2.3.1","OED","OccupancyCode","1053","Residential, Temporary lodging"
"ATC","OccType","30","Electrical","2.3.1","OED","OccupancyCode","1300","Utilities, Electrical"
"ATC","OccType","31","Water","2.3.1","OED","OccupancyCode","1301","Utilities, Water"
"ATC","OccType","32","Sanitary Sewer","2.3.1","OED","OccupancyCode","1302","Utilities, Sanitary sewer"
"ATC","OccType","33","Natural Gas","2.3.1","OED","OccupancyCode","1303","Utilities, Natural gas"
"ATC","OccType","34","Telephone &Telegraph","2.3.1","OED","OccupancyCode","1304","Utilities, Telephone and telegraph"
"ATC","OccType","35","Communication (Radio And Tv)","2.3.1","OED","OccupancyCode","1123","Commercial, Communication"
"ATC","OccType","36","Flood Control","2.3.1","OED","OccupancyCode","1350","Flood control"
"ATC","OccType","37","General Commercial","2.3.1","OED","OccupancyCode","1100","Commercial, General commercial"
"ATC","OccType","38","General Industrial","2.3.1","OED","OccupancyCode","1150","Industrial, General industrial"
"ATC","OccType","39","Miscellaneous","2.3.1","OED","OccupancyCode","1100","Commercial, General commercial"
"ATC","OccType","4","Group Institutional Housing","2.3.1","OED","OccupancyCode","1054","Residential, Group institutional housing"
"ATC","OccType","40","Dwelling","2.3.1","OED","OccupancyCode","1051","Residential, Permanent dwelling: single-family"
"ATC","OccType","41","Homeowner","2.3.1","OED","OccupancyCode","1051","Residential, Permanent dwelling: single-family"
"ATC","OccType","42","Condo Association","2.3.1","OED","OccupancyCode","1055","Residential, Apartment/Condo"
"ATC","OccType","43","Condo Owner","2.3.1","OED","OccupancyCode","1055","Residential, Apartment/Condo"
"ATC","OccType","44","Gasoline Service Stations","2.3.1","OED","OccupancyCode","1120","Commercial, Gasoline Station"
"ATC","OccType","45","Small Scale Industrial (Ssi)","2.3.1","OED","OccupancyCode","1150","Industrial, General industrial"
"ATC","OccType","46","Large Scale Industrial (Lsi)","2.3.1","OED","OccupancyCode","1150","Industrial, General industrial"
"ATC","OccType","47","Restaurants","2.3.1","OED","OccupancyCode","1119","Commercial, Restaurant, café, bar, pub, club, tavern, discotheque"
"ATC","OccType","48","Casinos","2.3.1","OED","OccupancyCode","1108","Commercial, Entertainment and recreation - General"
"ATC","OccType","49","Acute Care Services Hospitals","2.3.1","OED","OccupancyCode","1105","Commercial, Health care services - General"
"ATC","OccType","5","Retail Trade","2.3.1","OED","OccupancyCode","1101","Commercial, Retail trade"
"ATC","OccType","50","Oshpd Acute Care Services Hospitals (California Only)","2.3.1","OED","OccupancyCode","1105","Commercial, Health care services - General"
"ATC","OccType","51","Hotels- Large","2.3.1","OED","OccupancyCode","1053","Residential, Temporary lodging"
"ATC","OccType","52","Hotels- Small And Medium","2.3.1","OED","OccupancyCode","1053","Residential, Temporary lodging"
"ATC","OccType","53","Rental- General Commercial","2.3.1","OED","OccupancyCode","1100","Commercial, General commercial"
"ATC","OccType","54","Universities And Colleges","2.3.1","OED","OccupancyCode","1230","Education, Universities, colleges and technical schools"
"ATC","OccType","6","Wholesale Trade","2.3.1","OED","OccupancyCode","1102","Commercial, Wholesale trade"
"ATC","OccType","7","Personal And Repair Services","2.3.1","OED","OccupancyCode","1103","Commercial, Personal and repair services"
"ATC","OccType","8","Professional, Technical And Business Services","2.3.1","OED","OccupancyCode","1104","Commercial, Professional, technical and business"
"ATC","OccType","9","Health Care Service","2.3.1","OED","OccupancyCode","1105","Commercial, Health care services - General"
"SIC","OccType","100","Agricultural Production-Crops","2.3.1","OED","OccupancyCode","1351","Agriculture"
