File Name,Input Field Name,Type & Description,Required Field,Data Type,Allow blanks?,Default
Acc,AccPeril,Perils for account financial terms,CR1,varchar(250),YES,n/a
Acc,AccDedType1Building,Account building deductible type,CR1-01-1,tinyint,YES,0
Acc,AccDed1Building,Account building deductible,CR1-01-1,float,YES,0
Acc,AccMinDed1Building,Account minimum building deductible,CR1-01-2,float,YES,0
Acc,AccMaxDed1Building,Account maximum building deductible,CR1-01-3,float,YES,0
Acc,AccDedType2Other,Account other building deductible type,CR1-02-1,tinyint,YES,0
Acc,AccDed2Other,Account other building deductible,CR1-02-1,float,YES,0
Acc,AccMinDed2Other,Account minimum other building deductible,CR1-02-2,float,YES,0
Acc,AccMaxDed2Other,Account maximum other building deductible,CR1-02-3,float,YES,0
Acc,AccDedType3Contents,Account contents deductible type,CR1-03-1,tinyint,YES,0
Acc,AccDed3Contents,Account contents deductible,CR1-03-1,float,YES,0
Acc,AccMinDed3Contents,Account minimum contents deductible,CR1-03-2,float,YES,0
Acc,AccMaxDed3Contents,Account maximum contents deductible,CR1-03-3,float,YES,0
Acc,AccDedType4BI,Account BI deductible type,CR1-04-1,tinyint,YES,0
Acc,AccDed4BI,Account BI deductible,CR1-04-1,float,YES,0
Acc,AccMinDed4BI,Account minimum BI deductible,CR1-04-2,float,YES,0
Acc,AccMaxDed4BI,Account maximum BI deductible,CR1-04-3,float,YES,0
Acc,AccDedType5PD,Account PD deductible type,CR1-05-1,tinyint,YES,0
Acc,AccDed5PD,Account PD deductible,CR1-05-1,float,YES,0
Acc,AccMinDed5PD,Account minimum PD deductible,CR1-05-2,float,YES,0
Acc,AccMaxDed5PD,Account maximum PD deductible,CR1-05-3,float,YES,0
Acc,AccDedType6All,Account blanket deductible type,CR1-06-1,tinyint,YES,0
Acc,AccDed6All,Account blanket deductible,CR1-06-1,float,YES,0
Acc,AccMinDed6All,Account minimum blanket deductible,CR1-06-2,float,YES,0
Acc,AccMaxDed6All,Account maximum blanket deductible,CR1-06-3,float,YES,0
Acc,AccLimitType1Building,Account building limit type,CR1-07,tinyint,YES,0
Acc,AccLimit1Building,Account building limit,CR1-07,float,YES,0
Acc,AccLimitType2Other,Account other building limit type,CR1-08,tinyint,YES,0
Acc,AccLimit2Other,Account other building limit,CR1-08,float,YES,0
Acc,AccLimitType3Contents,Account contents limit type,CR1-09,tinyint,YES,0
Acc,AccLimit3Contents,Account contents limit,CR1-09,float,YES,0
Acc,AccLimitType4BI,Account BI limit type,CR1-10,tinyint,YES,0
Acc,AccLimit4BI,Account BI limit,CR1-10,float,YES,0
Acc,AccLimitType5PD,Account PD limit type,CR1-11,tinyint,YES,0
Acc,AccLimit5PD,Account PD limit,CR1-11,float,YES,0
Acc,AccLimitType6All,Account blanket limit type,CR1-12,tinyint,YES,0
Acc,AccLimit6All,Account blanket limit,CR1-12,float,YES,0
Acc,PolPeril,Perils for policy financial terms,CR2,varchar(250),YES,n/a
Acc,PolDedType1Building,Policy building deductible type,CR2-01-1,tinyint,YES,0
Acc,PolDed1Building,Policy building deductible,CR2-01-1,float,YES,0
Acc,PolMinDed1Building,Policy minimum building deductible,CR2-01-2,float,YES,0
Acc,PolMaxDed1Building,Policy maximum building deductible,CR2-01-3,float,YES,0
Acc,PolDedType2Other,Policy other building deductible type,CR2-02-1,tinyint,YES,0
Acc,PolDed2Other,Policy other building deductible,CR2-02-1,float,YES,0
Acc,PolMinDed2Other,Policy minimum other building deductible,CR2-02-2,float,YES,0
Acc,PolMaxDed2Other,Policy maximum other building deductible,CR2-02-3,float,YES,0
Acc,PolDedType3Contents,Policy contents deductible type,CR2-03-1,tinyint,YES,0
Acc,PolDed3Contents,Policy contents deductible,CR2-03-1,float,YES,0
Acc,PolMinDed3Contents,Policy minimum contents deductible,CR2-03-2,float,YES,0
Acc,PolMaxDed3Contents,Policy maximum contents deductible,CR2-03-3,float,YES,0
Acc,PolDedType4BI,Policy BI deductible type,CR2-04-1,tinyint,YES,0
Acc,PolDed4BI,Policy BI deductible,CR2-04-1,float,YES,0
Acc,PolMinDed4BI,Policy minimum BI deductible,CR2-04-2,float,YES,0
Acc,PolMaxDed4BI,Policy maximum BI deductible,CR2-04-3,float,YES,0
Acc,PolDedType5PD,Policy PD deductible type,CR2-05-1,tinyint,YES,0
Acc,PolDed5PD,Policy PD deductible,CR2-05-1,float,YES,0
Acc,PolMinDed5PD,Policy minimum PD deductible,CR2-05-2,float,YES,0
Acc,PolMaxDed5PD,Policy maximum PD deductible,CR2-05-3,float,YES,0
Acc,PolDedType6All,Policy blanket deductible type,CR2-06-1,tinyint,YES,0
Acc,PolDed6All,Policy blanket deductible,CR2-06-1,float,YES,0
Acc,PolMinDed6All,Policy minimum blanket deductible,CR2-06-2,float,YES,0
Acc,PolMaxDed6All,Policy maximum blanket deductible,CR2-06-3,float,YES,0
Acc,PolLimitType1Building,Policy building limit type,CR2-07,tinyint,YES,0
Acc,PolLimit1Building,Policy building limit,CR2-07,float,YES,0
Acc,PolLimitType2Other,Policy other building limit type,CR2-08,tinyint,YES,0
Acc,PolLimit2Other,Policy other building limit,CR2-08,float,YES,0
Acc,PolLimitType3Contents,Policy contents limit type,CR2-09,tinyint,YES,0
Acc,PolLimit3Contents,Policy contents limit,CR2-09,float,YES,0
Acc,PolLimitType4BI,Policy BI limit type,CR2-10,tinyint,YES,0
Acc,PolLimit4BI,Policy BI limit,CR2-10,float,YES,0
Acc,PolLimitType5PD,Policy PD limit type,CR2-11,tinyint,YES,0
Acc,PolLimit5PD,Policy PD limit,CR2-11,float,YES,0
Acc,PolLimitType6All,Policy blanket limit type,CR2-12,tinyint,YES,0
Acc,PolLimit6All,Policy blanket limit,CR2-12,float,YES,0
Acc,StepFunctionName,Step function name,CR3,varchar(30),YES,n/a
Acc,StepTriggerType,"Code that represents how, and for which coverages, pay-outs are triggered.",CR3,tinyint,YES,n/a
Acc,StepNumber,Number between 1 and 10 that is used to sort the step function in the correct order.,CR3,tinyint,YES,n/a
Acc,PayOutType,"Refers to PayoutBuilding, PayoutContents, PayoutBuildingContents. Payout can be % TIV, % Loss, a monetary amount, or % Limit.",CR3,tinyint,YES,n/a
Acc,TriggerType,"Refers to TriggerStart and TriggerEnd fields which could be specified as a % TIV, % Loss or a monetary amount.",CR3,tinyint,YES,n/a
Acc,TriggerBuildingStart,Starting value of the building damage range over which the corresponding pay-out(s) should be made.,CR3-01,float,YES,0
Acc,TriggerBuildingEnd,Ending value of the building damage range over which the corresponding pay-out(s) should be made.,CR3-01,float,YES,0
Acc,DeductibleBuilding,"Building deductible that can be used, for example, to account for fire policies before applying step functions.",CR3-01,float,YES,0
Acc,PayOutBuildingStart,Pay-out amount for the building losses for this step. If a ramp policy then it represents the start payout value.,CR3-01,float,YES,0
Acc,PayOutBuildingEnd,"Pay-out amount for the end-point building losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the building payout. Otherwise, it should be left blank.",CR3-01,float,YES,0
Acc,PayOutLimitBuilding,Pay-out limit for building,CR3-01,float,YES,0
Acc,TriggerContentsStart,Starting value of the content damage range over which the corresponding pay-out(s) should be made.,CR3-02,float,YES,0
Acc,TriggerContentsEnd,Ending value of the content damage range over which the corresponding pay-out(s) should be made.,CR3-02,float,YES,0
Acc,DeductibleContents,"Content deductible that can be used, for example, to account for fire policies before applying step functions.",CR3-02,float,YES,0
Acc,PayOutContentsStart,Pay-out amount for the contents losses for this step. If a ramp policy then it represents the start payout value.,CR3-02,float,YES,0
Acc,PayOutContentsEnd,"Pay-out amount for the end-point contents losses for this ramp. This field should only be used if you have a ramp policy to indicate the end of the contents payout. Otherwise, it should be left blank.",CR3-02,float,YES,0
Acc,PayOutLimitContents,Pay-out limit for contents,CR3-02,float,YES,0
Acc,TriggerBuildingContentsStart,Starting value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR3-03,float,YES,0
Acc,TriggerBuildingContentsEnd,Ending value of the building and content damage range over which the corresponding pay-out(s) should be made.,CR3-03,float,YES,0
